cohort_name,modality,device,task,feature_set,n_subjects,feature_count,numeric_count,categorical_count
eeg_rest_native,eeg,,rest,no_information,1022,0,0,0
eeg_rest_native,eeg,,rest,demographics,1022,4,1,3
eeg_rest_native,eeg,,rest,qc,1022,16,16,0
eeg_rest_native,eeg,,rest,signal,1022,217,217,0
eeg_rest_native,eeg,,rest,signal_qc,1022,233,233,0
eeg_rest_native,eeg,,rest,signal_demographics,1022,221,218,3
eeg_rest_native,eeg,,rest,signal_qc_demographics,1022,237,234,3
eeg_oddball_native,eeg,,oddball,no_information,1827,0,0,0
eeg_oddball_native,eeg,,oddball,demographics,1827,4,1,3
eeg_oddball_native,eeg,,oddball,qc,1827,16,16,0
eeg_oddball_native,eeg,,oddball,signal,1827,231,231,0
eeg_oddball_native,eeg,,oddball,signal_qc,1827,247,247,0
eeg_oddball_native,eeg,,oddball,signal_demographics,1827,235,232,3
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,1827,251,248,3
eeg_1back_native,eeg,,1back,no_information,1154,0,0,0
eeg_1back_native,eeg,,1back,demographics,1154,4,1,3
eeg_1back_native,eeg,,1back,qc,1154,16,16,0
eeg_1back_native,eeg,,1back,signal,1154,246,246,0
eeg_1back_native,eeg,,1back,signal_qc,1154,262,262,0
eeg_1back_native,eeg,,1back,signal_demographics,1154,250,247,3
eeg_1back_native,eeg,,1back,signal_qc_demographics,1154,266,263,3
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,signal,999,527,527,0
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,999,4,1,3
fnirs_yiruid_rest_native,fnirs,yiruid,rest,no_information,1514,0,0,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics,1514,4,1,3
fnirs_yiruid_rest_native,fnirs,yiruid,rest,qc,1514,17,17,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal,1514,281,281,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_qc,1514,298,298,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_demographics,1514,285,282,3
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_qc_demographics,1514,302,299,3
fnirs_yiruid_vft_native,fnirs,yiruid,vft,no_information,1480,0,0,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,demographics,1480,4,1,3
fnirs_yiruid_vft_native,fnirs,yiruid,vft,qc,1480,17,17,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal,1480,289,289,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_qc,1480,306,306,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_demographics,1480,293,290,3
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_qc_demographics,1480,310,307,3
fnirs_yiruid_1back_native,fnirs,yiruid,1back,no_information,1422,0,0,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,demographics,1422,4,1,3
fnirs_yiruid_1back_native,fnirs,yiruid,1back,qc,1422,16,16,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal,1422,289,289,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_qc,1422,305,305,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_demographics,1422,293,290,3
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_qc_demographics,1422,309,306,3
fnirs_bikom_rest_native,fnirs,bikom,rest,no_information,1017,0,0,0
fnirs_bikom_rest_native,fnirs,bikom,rest,demographics,1017,4,1,3
fnirs_bikom_rest_native,fnirs,bikom,rest,qc,1017,18,18,0
fnirs_bikom_rest_native,fnirs,bikom,rest,signal,1017,380,380,0
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_qc,1017,398,398,0
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_demographics,1017,384,381,3
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_qc_demographics,1017,402,399,3
fnirs_bikom_vft_native,fnirs,bikom,vft,no_information,1022,0,0,0
fnirs_bikom_vft_native,fnirs,bikom,vft,demographics,1022,4,1,3
fnirs_bikom_vft_native,fnirs,bikom,vft,qc,1022,18,18,0
fnirs_bikom_vft_native,fnirs,bikom,vft,signal,1022,396,396,0
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_qc,1022,414,414,0
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_demographics,1022,400,397,3
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_qc_demographics,1022,418,415,3
fnirs_bikom_1back_native,fnirs,bikom,1back,no_information,985,0,0,0
fnirs_bikom_1back_native,fnirs,bikom,1back,demographics,985,4,1,3
fnirs_bikom_1back_native,fnirs,bikom,1back,qc,985,17,17,0
fnirs_bikom_1back_native,fnirs,bikom,1back,signal,985,396,396,0
