cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
standard_cv,eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,0,"{""strategy"": ""prior""}",0.5,,799,223
standard_cv,eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,1,"{""strategy"": ""prior""}",0.5,,823,199
standard_cv,eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,2,"{""strategy"": ""prior""}",0.5,,824,198
standard_cv,eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,3,"{""strategy"": ""prior""}",0.5,,834,188
standard_cv,eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,4,"{""strategy"": ""prior""}",0.5,,808,214
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,0,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5794580023869296,799,223
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5798506967485069,823,199
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,2,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5896982716531588,824,198
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,3,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.6041633490244538,834,188
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.568944226505202,808,214
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,0,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5809155383623469,799,223
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.55,0.5648805573988055,823,199
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,2,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5874621618982521,824,198
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.6098166113549357,834,188
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5534265734265734,808,214
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,0,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.5,0.5756512613687806,799,223
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.55,0.5689814200398141,823,199
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.45,0.5815317514565637,824,198
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.45,0.6114536687283822,834,188
