cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
standard_cv,eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260907,0,0,"{""strategy"": ""prior""}",0.5,,1463,357
standard_cv,eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260907,0,1,"{""strategy"": ""prior""}",0.5,,1453,367
standard_cv,eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260907,0,2,"{""strategy"": ""prior""}",0.5,,1452,368
standard_cv,eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260907,0,3,"{""strategy"": ""prior""}",0.5,,1457,363
standard_cv,eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260907,0,4,"{""strategy"": ""prior""}",0.5,,1455,365
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,logistic_regression,20260907,8,0,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5839387591371011,1026,252
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,logistic_regression,20260907,8,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5995464550123392,1024,254
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,logistic_regression,20260907,8,2,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.6019455498136378,1019,259
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,logistic_regression,20260907,8,3,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5920149690736742,1019,259
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,logistic_regression,20260907,8,4,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.55,0.6045887006253675,1024,254
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,random_forest,20260907,8,0,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5772352469245855,1026,252
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,random_forest,20260907,8,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5968162920473999,1024,254
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,random_forest,20260907,8,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5760619046761618,1019,259
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,random_forest,20260907,8,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5844938330344399,1019,259
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,random_forest,20260907,8,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5783713720669197,1024,254
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,hist_gradient_boosting,20260907,8,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.45,0.5701885362809771,1026,252
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,hist_gradient_boosting,20260907,8,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.5,0.5819938193379133,1024,254
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,hist_gradient_boosting,20260907,8,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.5,0.5776982011992006,1019,259
standard_cv,eeg_1back_native,eeg,,1back,qc_demographics,hist_gradient_boosting,20260907,8,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.55,0.5676101635984335,1019,259
