cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,0,"{""strategy"": ""prior""}",0.5,,1133,279
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,1,"{""strategy"": ""prior""}",0.5,,1122,290
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,2,"{""strategy"": ""prior""}",0.5,,1127,285
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,3,"{""strategy"": ""prior""}",0.5,,1134,278
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,4,"{""strategy"": ""prior""}",0.5,,1132,280
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5292966066767413,425,99
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5958131677472377,421,103
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,2,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5329911495934568,414,110
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,3,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5228478317752563,416,108
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,4,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.45,0.5774613450074517,420,104
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.49702340065027245,425,99
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5514222445438772,421,103
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.4,0.4855851102103471,414,110
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5057208782321179,416,108
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5456291915052162,420,104
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.3,0.5041672390896186,425,99
